st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,0.0
Bihar,431.0
Chandigarh,0.0
Chhattisgarh,0.0
Dadara & Nagar Havelli,0.0
Daman & Diu,0.0
Goa,0.0
Gujarat,0.0
Haryana,3555.0
Himachal Pradesh,721.0
Jammu & Kashmir,4.0
Jharkhand,32.0
Karnataka,0.0
Kerala,0.0
Lakshadweep,0.0
Madhya Pradesh,0.0
Maharashtra,233.0
Manipur,0.0
Meghalaya,0.0
Mizoram,6.0
Nagaland,0.0
NCT of Delhi,0.0
Puducherry,0.0
Punjab,3664.0
Rajasthan,1739.0
Sikkim,0.0
Tamil Nadu,511.0
Telangana,0.0
Tripura,0.0
Uttar Pradesh,783.0
Uttarakhand,3.0
West Bengal,2859.0
Odisha,27.0
Andhra Pradesh,0.0
