st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,88.0
Bihar,1331.0
Chandigarh,0.0
Chhattisgarh,0.0
Dadara & Nagar Havelli,0.0
Daman & Diu,0.0
Goa,0.0
Gujarat,0.0
Haryana,6424.0
Himachal Pradesh,1639.0
Jammu & Kashmir,288.0
Jharkhand,0.0
Karnataka,0.0
Kerala,0.0
Lakshadweep,0.0
Madhya Pradesh,0.0
Maharashtra,757.0
Manipur,0.0
Meghalaya,0.0
Mizoram,24.0
Nagaland,0.0
NCT of Delhi,0.0
Puducherry,0.0
Punjab,6698.0
Rajasthan,801.0
Sikkim,0.0
Tamil Nadu,714.0
Telangana,0.0
Tripura,0.0
Uttar Pradesh,1801.0
Uttarakhand,0.0
West Bengal,1710.0
Odisha,410.0
Andhra Pradesh,6.0
